year,title,clean_test,budget,domgross,intgross,budget_2013,domgross_2013,intgross_2013,imdb_id,language,country,writer,metascore,imdb_rating,director,released,actors,genre,awards,runtime,type,poster,imdb_votes,error,rating
2013,American Hustle,ok,40000000,148430908,249484909,40000000,148430908,249484909,1800241,"English, Arabic",USA,"Eric Warren Singer, David O. Russell",90,7.5,David O. Russell,20-Dec-13,"Christian Bale, Bradley Cooper, Amy Adams, Jeremy Renner","Crime, Drama",Nominated for 10 Oscars. Another 49 wins & 77 nominations.,138 min,movie,http://ia.media-imdb.com/images/M/MV5BNjkxMTc0MDc4N15BMl5BanBnXkFtZTgwODUyNTI1MDE@._V1_SX300.jpg,"150,073",NA,3
2013,August: Osage County,ok,25000000,37304874,50304874,25000000,37304874,50304874,1322269,English,USA,"Tracy Letts (screenplay), Tracy Letts (play)",58,7.4,John Wells,10-Jan-14,"Meryl Streep, Julia Roberts, Chris Cooper, Ewan McGregor",Drama,Nominated for 2 Oscars. Another 7 wins & 36 nominations.,121 min,movie,http://ia.media-imdb.com/images/M/MV5BNzQ5ODE4NTcxNV5BMl5BanBnXkFtZTgwNjkyNDQ0MDE@._V1_SX300.jpg,"29,369",NA,3
2013,Beautiful Creatures,ok,50000000,19452138,55940671,50000000,19452138,55940671,1559547,English,USA,"Richard LaGravenese (screenplay), Kami Garcia (based on the novel ""Beautiful Creatures"" by), Margaret Stohl (based on the novel ""Beautiful Creatures"" by)",52,6.2,Richard LaGravenese,14-Feb-13,"Alden Ehrenreich, Alice Englert, Jeremy Irons, Viola Davis","Drama, Fantasy, Romance",7 nominations.,124 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQyMjYwODMwMl5BMl5BanBnXkFtZTcwODUwNzY5OA@@._V1_SX300.jpg,"42,988",NA,3
2013,Blue Jasmine,ok,18000000,33345833,68447831,18000000,33345833,68447831,2334873,English,USA,Woody Allen,78,7.4,Woody Allen,23-Aug-13,"Cate Blanchett, Joy Carlin, Richard Conti, Glen Caspillo","Comedy, Drama",Won 1 Oscar. Another 24 wins & 36 nominations.,98 min,movie,http://ia.media-imdb.com/images/M/MV5BMTc0ODk5MzEyMV5BMl5BanBnXkFtZTcwMzI0MDY1OQ@@._V1_SX300.jpg,"64,127",NA,3
2013,Captain Phillips,notalk,55000000,107136417,218743570,55000000,107136417,218743570,1535109,"English, Somali",USA,"Billy Ray (screenplay), Richard Phillips (based upon the book ""A Captain's Duty: Somali Pirates,  Navy SEALS,  and Dangerous Days at Sea"" by), Stephan Talty (based upon the book ""A Captain's Duty: Somali Pirates,  Navy SEALS,  and Dangerous Days at Sea"" by)",83,8,Paul Greengrass,11-Oct-13,"Tom Hanks, Catherine Keener, Barkhad Abdi, Barkhad Abdirahman","Biography, Drama, Thriller",Nominated for 6 Oscars. Another 16 wins & 68 nominations.,134 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQzNzExMDg3Ml5BMl5BanBnXkFtZTgwODU1NzEzMDE@._V1_SX300.jpg,"167,886",NA,1
2013,Carrie,ok,30000000,35266619,85001659,30000000,35266619,85001659,1939659,English,USA,"Lawrence D. Cohen (screenplay), Roberto Aguirre-Sacasa (screenplay), Stephen King (novel)",53,6,Kimberly Peirce,18-Oct-13,"Julianne Moore, Chloë Grace Moretz, Gabriella Wilde, Portia Doubleday","Drama, Horror",1 win & 3 nominations.,100 min,movie,http://ia.media-imdb.com/images/M/MV5BMTc1MDIyOTkxN15BMl5BanBnXkFtZTgwMTU1NzEzMDE@._V1_SX300.jpg,"57,766",NA,3
2013,Cloudy with a Chance of Meatballs 2,nowomen,78000000,119640264,271725448,78000000,119640264,271725448,1985966,English,USA,"Erica Rivinoja (screenplay), John Francis Daley (screenplay), Jonathan M. Goldstein (screenplay), Phil Lord (story), Christopher Miller (story), Erica Rivinoja (story), Judi Barrett (characters), Ron Barrett (characters)",59,6.5,"Cody Cameron, Kris Pearn",27-Sep-13,"Bill Hader, Anna Faris, James Caan, Will Forte","Animation, Comedy, Family",8 nominations.,95 min,movie,http://ia.media-imdb.com/images/M/MV5BMTYzNDM0MDI1NF5BMl5BanBnXkFtZTcwNzQ5NzYxOQ@@._V1_SX300.jpg,"26,133",NA,0
2013,Despicable Me 2,ok,76000000,368065385,970766005,76000000,368065385,970766005,1690953,English,USA,"Cinco Paul, Ken Daurio",62,7.6,"Pierre Coffin, Chris Renaud",3-Jul-13,"Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove","Animation, Adventure, Comedy",Nominated for 2 Oscars. Another 10 wins & 31 nominations.,98 min,movie,http://ia.media-imdb.com/images/M/MV5BMjExNjAyNTcyMF5BMl5BanBnXkFtZTgwODQzMjQ3MDE@._V1_SX300.jpg,"160,919",NA,3
2013,Don Jon,dubious,5500000,24477704,26377704,5500000,24477704,26377704,2229499,English,USA,Joseph Gordon-Levitt,66,6.8,Joseph Gordon-Levitt,27-Sep-13,"Joseph Gordon-Levitt, Scarlett Johansson, Julianne Moore, Tony Danza","Comedy, Drama, Romance",2 wins & 6 nominations.,90 min,movie,"http://ia.media-imdb.com/images/M/MV5BMTQxNTc3NDM2MF5BMl5BanBnXkFtZTcwNzQ5NTQ3OQ@@._V1._CR28,28.649993896484375,1271,1991.0000305175781_SX89_.jpg_V1_SX300.jpg","105,210",NA,-1
2013,Elysium,ok,120000000,93050117,286192091,120000000,93050117,286192091,1535108,"English, Spanish, French, Afrikaans",USA,Neill Blomkamp,61,6.7,Neill Blomkamp,9-Aug-13,"Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga","Action, Drama, Sci-Fi",5 nominations.,109 min,movie,http://ia.media-imdb.com/images/M/MV5BNDc2NjU0MTcwNV5BMl5BanBnXkFtZTcwMjg4MDg2OQ@@._V1_SX300.jpg,"194,012",NA,3
2013,Ender&#39;s Game,men,110000000,61737191,89737191,110000000,61737191,89737191,1731141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2013,Epic,ok,100000000,107518682,268418682,100000000,107518682,268418682,848537,English,USA,"James V. Hart (screenplay), William Joyce (screenplay), Daniel Shere (screenplay), Tom J. Astle (screenplay), Matt Ember (screenplay), William Joyce (story), James V. Hart (story), Chris Wedge (story), William Joyce (inspired by the book ""The Leaf Men and the Brave Good Bugs"")",52,6.7,Chris Wedge,24-May-13,"Blake Anderson, Aziz Ansari, Allison Bills, Jim Conroy","Animation, Adventure, Family",1 win & 15 nominations.,102 min,movie,http://ia.media-imdb.com/images/M/MV5BMTgyNDYwNzE5NV5BMl5BanBnXkFtZTcwMzUyODM5OA@@._V1_SX300.jpg,"55,536",NA,3
2013,Escape from Planet Earth,ok,40000000,57012977,66454811,40000000,57012977,66454811,765446,English,"USA, Canada","Bob Barlen, Cal Brunker, Tony Leech (story), Cory Edwards (story)",35,5.9,Cal Brunker,15-Feb-13,"Brendan Fraser, Rob Corddry, Ricky Gervais, Jonathan Morgan Heit","Animation, Adventure, Comedy",1 win.,89 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQyMTk4NjkyMl5BMl5BanBnXkFtZTcwMzA2OTY4OA@@._V1_SX300.jpg,"14,047",NA,3
2013,Escape Plan,men,70000000,25213103,103813103,70000000,25213103,103813103,1211956,"English, German, Arabic, Urdu",USA,"Miles Chapman (screenplay), Jason Keller (screenplay), Miles Chapman (story)",49,6.8,Mikael Håfström,18-Oct-13,"Sylvester Stallone, Arnold Schwarzenegger, Jim Caviezel, Faran Tahir","Action, Mystery, Thriller",1 nomination.,115 min,movie,http://ia.media-imdb.com/images/M/MV5BMTk3OTcxMTEyNl5BMl5BanBnXkFtZTcwMDQ4MjQ2OQ@@._V1_SX300.jpg,"79,262",NA,2
2013,Evil Dead,ok,17000000,54239856,97402049,17000000,54239856,97402049,1288558,English,USA,"Fede Alvarez (screenplay), Rodo Sayagues (screenplay), Sam Raimi (based on the motion picture ""The Evil Dead"",  written by)",57,6.5,Fede Alvarez,5-Apr-13,"Jane Levy, Shiloh Fernandez, Lou Taylor Pucci, Jessica Lucas",Horror,1 win & 4 nominations.,91 min,movie,http://ia.media-imdb.com/images/M/MV5BNTQ3OTkwNTgyN15BMl5BanBnXkFtZTcwNTAzOTAzOQ@@._V1_SX300.jpg,"86,833",NA,3
2013,Fast and Furious 6,ok,160000000,238679850,788128122,160000000,238679850,788128122,1905041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2013,Frozen,ok,150000000,393050114,1004550114,150000000,393050114,1004550114,2294629,English,USA,"Jennifer Lee (screenplay), Hans Christian Andersen (inspired by the story ""The Snow Queen"" by), Chris Buck (story), Jennifer Lee (story), Shane Morris (story), Dean Wellins (additional story)",74,7.9,"Chris Buck, Jennifer Lee",27-Nov-13,"Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","Animation, Adventure, Comedy",Won 2 Oscars. Another 34 wins & 17 nominations.,102 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX300.jpg,"166,804",NA,3
2013,G.I. Joe: Retaliation,ok,140000000,122523060,371923060,140000000,122523060,371923060,1583421,English,USA,"Rhett Reese, Paul Wernick",41,5.9,Jon M. Chu,28-Mar-13,"Dwayne Johnson, Jonathan Pryce, Byung-hun Lee, Elodie Yung","Action, Adventure, Sci-Fi",9 nominations.,110 min,movie,http://ia.media-imdb.com/images/M/MV5BNzk5ODM0OTQ0N15BMl5BanBnXkFtZTcwODg2ODE4OA@@._V1_SX300.jpg,"103,584",NA,3
2013,Gangster Squad,notalk,60000000,46000903,104100903,60000000,46000903,104100903,1321870,English,USA,"Will Beall, Paul Lieberman (book)",40,6.8,Ruben Fleischer,11-Jan-13,"Sean Penn, Holt McCallany, Wade Williams, James Landry Hébert","Action, Crime, Drama",1 win & 1 nomination.,113 min,movie,http://ia.media-imdb.com/images/M/MV5BMTcwMjAyMTUzMl5BMl5BanBnXkFtZTcwODgxNzk1OA@@._V1_SX300.jpg,"130,219",NA,1
2013,Gloria,ok,30000000,4167493,4967493,30000000,4167493,4967493,2425486,"Spanish, English","Chile, Spain","Sebastián Lelio (screenplay), Gonzalo Maza (screenplay)",83,7,Sebastián Lelio,9-May-13,"Paulina García, Sergio Hernández, Diego Fontecilla, Fabiola Zamora","Comedy, Drama",7 wins & 9 nominations.,110 min,movie,http://ia.media-imdb.com/images/M/MV5BMzI1NjgxNDM3N15BMl5BanBnXkFtZTgwMTI4MDI1MDE@._V1_SX300.jpg,"2,578",NA,3
2013,Gravity,nowomen,110000000,271814796,708714796,110000000,271814796,708714796,1454468,"English, Greenlandic","USA, UK","Alfonso Cuarón, Jonás Cuarón",96,8.2,Alfonso Cuarón,4-Oct-13,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen","Drama, Sci-Fi, Thriller",Won 7 Oscars. Another 104 wins & 75 nominations.,91 min,movie,http://ia.media-imdb.com/images/M/MV5BNjE5MzYwMzYxMF5BMl5BanBnXkFtZTcwOTk4MTk0OQ@@._V1_SX300.jpg,"327,703",NA,0
2013,Grown Ups 2,men,80000000,133668525,247023808,80000000,133668525,247023808,2191701,English,USA,"Fred Wolf, Adam Sandler, Tim Herlihy, Adam Sandler (based on characters created by), Fred Wolf (based on characters created by)",19,5.4,Dennis Dugan,12-Jul-13,"Adam Sandler, Kevin James, Chris Rock, David Spade",Comedy,1 win & 11 nominations.,101 min,movie,http://ia.media-imdb.com/images/M/MV5BMTgwNTI2MDI0OF5BMl5BanBnXkFtZTcwMTk5MDg0OQ@@._V1_SX300.jpg,"60,641",NA,2
2013,Hansel &amp; Gretel: Witch Hunters,ok,50000000,55703475,225703475,50000000,55703475,225703475,1428538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2013,Her,men,23000000,25000178,33029713,23000000,25000178,33029713,1798709,English,USA,Spike Jonze,90,8.3,Spike Jonze,10-Jan-14,"Joaquin Phoenix, Lynn Adrianna, Lisa Renee Pitts, Gabe Gomez","Drama, Romance, Sci-Fi",Won 1 Oscar. Another 42 wins & 58 nominations.,126 min,movie,http://ia.media-imdb.com/images/M/MV5BMjA1Nzk0OTM2OF5BMl5BanBnXkFtZTgwNjU2NjEwMDE@._V1_SX300.jpg,"89,605",NA,2
2013,Identity Thief,men,35000000,134506920,176269721,35000000,134506920,176269721,2024432,English,USA,"Craig Mazin (screenplay), Jerry Eeten (story), Craig Mazin (story)",35,5.7,Seth Gordon,8-Feb-13,"Jason Bateman, Melissa McCarthy, Jon Favreau, Amanda Peet","Comedy, Crime",1 win & 7 nominations.,111 min,movie,http://ia.media-imdb.com/images/M/MV5BMTY3NzM5MTk2Nl5BMl5BanBnXkFtZTcwMDQ4MjQ3OA@@._V1_SX300.jpg,"65,325",NA,2
2013,Insidious: Chapter 2,men,5000000,83586447,161911222,5000000,83586447,161911222,2226417,English,"USA, Canada","Leigh Whannell (based on characters created by), James Wan (story), Leigh Whannell (story), Leigh Whannell (screenplay)",40,6.7,James Wan,13-Sep-13,"Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye","Horror, Thriller",1 win & 4 nominations.,106 min,movie,http://ia.media-imdb.com/images/M/MV5BMTg0OTA5ODIxNF5BMl5BanBnXkFtZTcwNTUzNDg4OQ@@._V1_SX300.jpg,"47,327",NA,2
2013,Iron Man 3,dubious,200000000,408992272,1212692272,200000000,408992272,1212692272,1300854,English,"USA, China","Drew Pearce (screenplay), Shane Black (screenplay), Stan Lee (based on the Marvel comic book by), Don Heck (based on the Marvel comic book by), Larry Lieber (based on the Marvel comic book by), Jack Kirby (based on the Marvel comic book by), Warren Ellis (based on the ""Extremis"" mini-series written by), Adi Granov (based on the ""Extremis"" mini-series illustrated by)",62,7.4,Shane Black,3-May-13,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce","Action, Adventure, Fantasy",Nominated for 1 Oscar. Another 12 wins & 35 nominations.,130 min,movie,http://ia.media-imdb.com/images/M/MV5BMjIzMzAzMjQyM15BMl5BanBnXkFtZTcwNzM2NjcyOQ@@._V1_SX300.jpg,"350,466",NA,-1
2013,Jack the Giant Slayer,nowomen,195000000,65187603,197387603,195000000,65187603,197387603,1351685,English,USA,"Darren Lemke (screenplay), Christopher McQuarrie (screenplay), Dan Studney (screenplay), Darren Lemke (story), David Dobkin (story)",51,6.3,Bryan Singer,1-Mar-13,"Nicholas Hoult, Eleanor Tomlinson, Ewan McGregor, Stanley Tucci","Adventure, Fantasy",2 wins & 3 nominations.,114 min,movie,http://ia.media-imdb.com/images/M/MV5BMjE1NDMxMjI0OV5BMl5BanBnXkFtZTcwMjQyMDExOQ@@._V1_SX300.jpg,"74,855",NA,0
2013,Kick-Ass 2,ok,28000000,28795985,60839197,28000000,28795985,60839197,1650554,English,"USA, UK","Jeff Wadlow (screenplay), Mark Millar (comic book), John Romita Jr. (comic book)",41,6.8,Jeff Wadlow,16-Aug-13,"Aaron Taylor-Johnson, Chloë Grace Moretz, Morris Chestnut, Claudia Lee","Action, Comedy, Crime",1 win.,103 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQ4OTQxNzc0N15BMl5BanBnXkFtZTcwOTQxOTU5OQ@@._V1_SX300.jpg,"115,230",NA,3
2013,Last Vegas,notalk,28000000,63914167,112914167,28000000,63914167,112914167,1204975,English,USA,Dan Fogelman,48,6.7,Jon Turteltaub,1-Nov-13,"Michael Douglas, Robert De Niro, Morgan Freeman, Kevin Kline",Comedy,N/A,105 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQ2ODg2MTIyNF5BMl5BanBnXkFtZTgwMzU2NjgwMDE@._V1_SX300.jpg,"53,687",NA,1
2013,Lee Daniels&#39; The Butler,ok,30000000,116632095,151513429,30000000,116632095,151513429,1327773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2013,Machete Kills,ok,2000000,8008161,9408161,2000000,8008161,9408161,2002718,"English, Spanish","Russia, USA","Kyle Ward (screenplay), Robert Rodriguez (story), Marcel Rodriguez (story)",41,5.8,Robert Rodriguez,11-Oct-13,"Danny Trejo, Mel Gibson, Demian Bichir, Amber Heard","Action, Comedy, Crime",1 nomination.,107 min,movie,http://ia.media-imdb.com/images/M/MV5BMjA2MzUxMTM3M15BMl5BanBnXkFtZTgwMzA2NzkxMDE@._V1_SX300.jpg,"30,043",NA,3
2013,Mama,ok,15000000,71628180,148041253,15000000,71628180,148041253,2023587,English,"Canada, Spain","Andrés Muschietti (story), Barbara Muschietti (story), Neil Cross (screenplay), Andrés Muschietti (screenplay), Barbara Muschietti (screenplay)",57,6.3,Andrés Muschietti,18-Jan-13,"Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier, Isabelle Nélisse","Horror, Thriller",11 wins & 11 nominations.,100 min,movie,http://ia.media-imdb.com/images/M/MV5BMTM5MjIwNDAwMl5BMl5BanBnXkFtZTcwNzQyOTY0OA@@._V1_SX300.jpg,"84,452",NA,3
2013,Man of Steel,ok,225000000,291045518,687999518,225000000,291045518,687999518,770828,English,"USA, Canada, UK","David S. Goyer (screenplay), David S. Goyer (story), Christopher Nolan (story), Jerry Siegel (Superman created by), Joe Shuster (Superman created by)",55,7.4,Zack Snyder,14-Jun-13,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane","Action, Adventure, Fantasy",4 wins & 16 nominations.,143 min,movie,http://ia.media-imdb.com/images/M/MV5BMjI5OTYzNjI0Ml5BMl5BanBnXkFtZTcwMzM1NDA1OQ@@._V1_SX300.jpg,"359,556",NA,3
2013,Nebraska,ok,12000000,17482517,17482517,12000000,17482517,17482517,1821549,"English, Spanish",USA,Bob Nelson,86,7.9,Alexander Payne,24-Jan-14,"Bruce Dern, Will Forte, June Squibb, Bob Odenkirk","Adventure, Drama",Nominated for 6 Oscars. Another 26 wins & 61 nominations.,115 min,movie,http://ia.media-imdb.com/images/M/MV5BMTU2Mjk2NDkyMl5BMl5BanBnXkFtZTgwNTk0NzcyMDE@._V1_SX300.jpg,"33,503",NA,3
2013,Now You See Me,notalk,75000000,117723989,351723989,75000000,117723989,351723989,1670345,English,"France, USA","Ed Solomon (screenplay), Boaz Yakin (screenplay), Edward Ricourt (screenplay), Boaz Yakin (story), Edward Ricourt (story)",50,7.3,Louis Leterrier,31-May-13,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Isla Fisher","Crime, Mystery, Thriller",1 win & 3 nominations.,115 min,movie,http://ia.media-imdb.com/images/M/MV5BMTY0NDY3MDMxN15BMl5BanBnXkFtZTcwOTM5NzMzOQ@@._V1_SX300.jpg,"280,199",NA,1
2013,Oblivion,men,120000000,89107235,287537983,120000000,89107235,287537983,1483013,English,USA,"Karl Gajdusek (screenplay), Michael Arndt (screenplay), Joseph Kosinski (graphic novel original story)",54,7,Joseph Kosinski,19-Apr-13,"Tom Cruise, Morgan Freeman, Olga Kurylenko, Andrea Riseborough","Action, Adventure, Mystery",8 nominations.,124 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQwMDY0MTA4MF5BMl5BanBnXkFtZTcwNzI3MDgxOQ@@._V1_SX300.jpg,"240,839",NA,2
2013,Olympus Has Fallen,notalk,70000000,98927592,150562164,70000000,98927592,150562164,2302755,"English, Korean",USA,"Creighton Rothenberger, Katrin Benedikt",41,6.5,Antoine Fuqua,22-Mar-13,"Gerard Butler, Aaron Eckhart, Finley Jacobsen, Dylan McDermott","Action, Thriller",2 nominations.,119 min,movie,http://ia.media-imdb.com/images/M/MV5BMTkxNjIyNjE5OF5BMl5BanBnXkFtZTcwMTI3NzkxOQ@@._V1_SX300.jpg,"132,564",NA,1
2013,Oz the Great and Powerful,ok,200000000,234770996,489570996,200000000,234770996,489570996,1623205,English,USA,"Mitchell Kapner (screenplay), David Lindsay-Abaire (screenplay), Mitchell Kapner (screen story), L. Frank Baum (""Oz"" works)",44,6.4,Sam Raimi,8-Mar-13,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams","Adventure, Family, Fantasy",3 wins & 24 nominations.,130 min,movie,http://ia.media-imdb.com/images/M/MV5BMjMyMzQ1ODM1MF5BMl5BanBnXkFtZTcwMjE2MTQxOQ@@._V1_SX300.jpg,"135,860",NA,3
2013,Pacific Rim,notalk,190000000,101802906,411002906,190000000,101802906,411002906,1663662,"English, Japanese, Cantonese, Mandarin",USA,"Travis Beacham (screenplay), Guillermo del Toro (screenplay), Travis Beacham (story)",64,7.1,Guillermo del Toro,12-Jul-13,"Charlie Hunnam, Diego Klattenhoff, Idris Elba, Rinko Kikuchi","Action, Adventure, Sci-Fi",Nominated for 1 BAFTA Film Award. Another 6 wins & 14 nominations.,131 min,movie,http://ia.media-imdb.com/images/M/MV5BMTY3MTI5NjQ4Nl5BMl5BanBnXkFtZTcwOTU1OTU0OQ@@._V1_SX300.jpg,"226,148",NA,1
2013,Pain &amp; Gain,notalk,26000000,49875291,81275291,26000000,49875291,81275291,1980209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2013,Parker,ok,35000000,17616641,46346651,35000000,17616641,46346651,1904996,English,USA,"John J. McLaughlin (screenplay), Donald E. Westlake (novel)",43,6.2,Taylor Hackford,25-Jan-13,"Jason Statham, Jennifer Lopez, Michael Chiklis, Wendell Pierce","Action, Crime, Thriller",N/A,118 min,movie,http://ia.media-imdb.com/images/M/MV5BMTk4MzM2NTQ1Nl5BMl5BanBnXkFtZTcwODIyODY1OA@@._V1_SX300.jpg,"59,992",NA,3
2013,Peeples,dubious,15000000,9177065,9177065,15000000,9177065,9177065,1699755,English,USA,Tina Gordon Chism,52,5,Tina Gordon Chism,10-May-13,"Craig Robinson, Kerry Washington, David Alan Grier, S. Epatha Merkerson","Comedy, Romance",5 nominations.,95 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQwODU0MDM4Ml5BMl5BanBnXkFtZTcwMTA5MDkzOQ@@._V1_SX300.jpg,"2,664",NA,-1
2013,Percy Jackson: Sea of Monsters,ok,90000000,68559554,200859554,90000000,68559554,200859554,1854564,English,USA,"Marc Guggenheim (screenplay), Rick Riordan (based upon the novel ""Percy Jackson and the Olympians: The Sea of Monsters"" written by)",39,6,Thor Freudenthal,7-Aug-13,"Logan Lerman, Alexandra Daddario, Douglas Smith, Leven Rambin","Adventure, Family, Fantasy",1 win & 3 nominations.,106 min,movie,http://ia.media-imdb.com/images/M/MV5BMTUwODUyODI0Nl5BMl5BanBnXkFtZTcwNzAxODY2OQ@@._V1_SX300.jpg,"52,311",NA,3
2013,Prisoners,ok,46000000,61002302,113402302,46000000,61002302,113402302,1392214,English,USA,Aaron Guzikowski,74,8.1,Denis Villeneuve,20-Sep-13,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello","Crime, Drama, Thriller",Nominated for 1 Oscar. Another 5 wins & 15 nominations.,153 min,movie,http://ia.media-imdb.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_SX300.jpg,"178,743",NA,3
